Keyword,Avg_Searches,Avg_Clicks,Competition,Google_Searches,Source_File
above bed art,1228.0,1289.0,46830.0,1300.0,gpt.csv
christmas prints,1227.0,1222.0,1544977.0,,gpt.csv
family tree wall art,1225.0,1336.0,28710.0,480.0,gpt.csv
golf wall art,1223.0,1201.0,51253.0,1300.0,gpt.csv
bedroom prints,1223.0,1335.0,3037231.0,,gpt.csv
cat lover gift,1218.0,1450.0,502790.0,210.0,gpt.csv
ocean wall art,1217.0,1233.0,337818.0,1300.0,gpt.csv
samsung tv frame,1213.0,1204.0,144440.0,6600.0,gpt.csv
samsung frame,1212.0,1217.0,145857.0,14800.0,gpt.csv
coastal prints,1208.0,1189.0,370549.0,,gpt.csv
gallery wall prints,1207.0,1216.0,329864.0,880.0,gpt.csv
living room art,1205.0,1165.0,4504927.0,9900.0,gpt.csv
woodland nursery,1202.0,1191.0,103071.0,1900.0,gpt.csv
peel and stick,1202.0,1210.0,120615.0,6600.0,gpt.csv
Floral Prints,1201.0,1197.0,1038282.0,,gpt.csv
geometric wall art,1196.0,1166.0,884329.0,1300.0,gpt.csv
funny wall art,1196.0,1271.0,937053.0,1300.0,gpt.csv
floral art,1194.0,1196.0,1713499.0,2900.0,gpt.csv
landscape,1192.0,1417.0,1737642.0,201000.0,gpt.csv
chicago wall art,1189.0,1181.0,26186.0,880.0,gpt.csv
judaica wall art,1188.0,1161.0,9137.0,210.0,gpt.csv
chinoiserie wall art,1187.0,1188.0,27353.0,720.0,gpt.csv
easter eggs,1186.0,1283.0,176559.0,90500.0,gpt.csv
realtor closing gift,1183.0,1341.0,36611.0,880.0,gpt.csv
vintage style,1169.0,1137.0,1387480.0,,gpt.csv
black girl wall art,1168.0,1063.0,152967.0,,gpt.csv
thanksgiving decor,1168.0,1152.0,455327.0,,gpt.csv
parametric wall art,1162.0,1208.0,2082.0,480.0,gpt.csv
vintage painting,1158.0,1091.0,642269.0,1000.0,gpt.csv
wall art digital download,1156.0,1203.0,4983197.0,40.0,gpt.csv
easter printable,1153.0,1067.0,115262.0,720.0,gpt.csv
coastal wall decor,1148.0,1149.0,463545.0,,gpt.csv
dorm wall decor,1148.0,1117.0,1468647.0,,gpt.csv
harry potter wall art,1136.0,1223.0,9169.0,880.0,gpt.csv
cocktail wall art,1128.0,1186.0,65642.0,,gpt.csv
retro poster,1128.0,1287.0,427783.0,1900.0,gpt.csv
nautical wall art,1124.0,1186.0,243530.0,880.0,gpt.csv
kitchen art print,1124.0,1136.0,1816052.0,,gpt.csv
bird wall art,1123.0,1101.0,287159.0,1300.0,gpt.csv
city wall art,1123.0,1183.0,323895.0,,gpt.csv
ceramic tile wall art,1121.0,1199.0,21082.0,,gpt.csv
nature wall art,1121.0,1182.0,808417.0,1600.0,gpt.csv
maximalist wall art,1110.0,1121.0,84467.0,390.0,gpt.csv
instant download,1107.0,1145.0,3673189.0,320.0,gpt.csv
wani sabi wall art prints brown,1106.0,1106.0,28.0,,gpt.csv
dark academia art,1103.0,1077.0,119223.0,880.0,gpt.csv
map wall art,1103.0,1102.0,348001.0,720.0,gpt.csv
hydrangea wall art,1101.0,1143.0,17317.0,1000.0,gpt.csv
macrame wall art,1100.0,1208.0,15107.0,1600.0,gpt.csv
maximalist decor,1098.0,1059.0,103406.0,6600.0,gpt.csv
